"point","lambda","low","high","year"
"observed (w/ culling)",0.888987276109353,0.805848817655467,0.978307996497314,1993
"observed (w/ culling)",1.09679316585618,1.02390375816881,1.17564628973855,1994
"observed (w/ culling)",0.481061906444783,0.431061824662558,0.5346555707759,1995
"observed (w/ culling)",0.725346959312384,0.650938267357923,0.811334681301876,1996
"observed (w/ culling)",0.735565225260464,0.642518258691438,0.846637104435808,1997
"observed (w/ culling)",1.03938383376281,0.919015549310686,1.17715022889216,1998
"observed (w/ culling)",0.968459698252353,0.851868572337613,1.11880196401455,1999
"observed (w/ culling)",1.0390724989637,0.905898758912267,1.20162582473531,2000
"observed (w/ culling)",1.3159761901305,1.1524888836521,1.52313297782802,2001
"observed (w/ culling)",1.10203433088901,0.97460238716502,1.24369766173988,2002
"observed (w/ culling)",0.807250000899121,0.713123827933194,0.918176131260422,2003
"observed (w/ culling)",1.1079075636346,0.980144823039931,1.24915130771428,2004
"observed (w/ culling)",0.843023516686862,0.737081962521954,0.972233638343039,2005
"observed (w/ culling)",0.781545358167472,0.675146337176687,0.908693891384628,2006
"observed (w/ culling)",0.969328358205782,0.818393895059906,1.17387180076086,2007
"observed (w/ culling)",0.623674175662809,0.51453859240816,0.778431189407562,2008
"uniform age structure",1.48437019372552,1.31519612911011,1.74185936233014,1993
"uniform age structure",1.42678018675224,1.27827388267805,1.63128548356475,1994
"uniform age structure",1.48648354644061,1.3377215971256,1.73991655110402,1995
"uniform age structure",1.47205216671541,1.32968411598696,1.64454091405835,1996
"uniform age structure",1.65261893836755,1.44032512988283,1.93903124454904,1997
"uniform age structure",1.62232188895719,1.43825182180283,1.89223775483865,1998
"uniform age structure",1.59007982940367,1.3882608999061,1.86495491379356,1999
"uniform age structure",1.56831739320032,1.3655370390228,1.84475479376862,2000
"uniform age structure",1.72392565677674,1.48669604376121,2.02573624952062,2001
"uniform age structure",1.79392299126936,1.54613470526773,2.12108598543909,2002
"uniform age structure",1.49340890669833,1.31665336120246,1.72422301286751,2003
"uniform age structure",1.5906047752411,1.40037514365987,1.85418293398337,2004
"uniform age structure",1.63427007783136,1.45444515182698,1.87942886823554,2005
"uniform age structure",1.72476790757611,1.50389787450594,2.04932175926585,2006
"uniform age structure",1.98822085141835,1.65415622565683,2.50251133222758,2007
"uniform age structure",1.56658630880612,1.33603019869006,1.92782470887335,2008
"stable age structure",1.32078617618183,1.19165897918417,1.43192515482344,1993
"stable age structure",1.28928354348097,1.1734161698662,1.38446936630067,1994
"stable age structure",1.28427212375714,1.15915859207307,1.38753284022556,1995
"stable age structure",1.31120472134732,1.22732673135958,1.3974190727134,1996
"stable age structure",1.41445987875039,1.31645442306499,1.52467975029113,1997
"stable age structure",1.47287474670599,1.35023355072012,1.59613382047889,1998
"stable age structure",1.41371672256974,1.30669854938781,1.54883238039506,1999
"stable age structure",1.41279034572384,1.29532756643196,1.53484333252247,2000
"stable age structure",1.41910939167085,1.31155842964627,1.53700055861434,2001
"stable age structure",1.43467772893025,1.33826013371581,1.55216526384829,2002
"stable age structure",1.29518741074509,1.2012629773798,1.39646353901986,2003
"stable age structure",1.33479992238387,1.23662621947681,1.42577451731264,2004
"stable age structure",1.34544876019869,1.25879101641109,1.45407106174582,2005
"stable age structure",1.37802038853612,1.28035022399774,1.49131778507703,2006
"stable age structure",1.47891188020695,1.33565592091673,1.6436045599282,2007
"stable age structure",1.34294169919695,1.18464153057878,1.52194292291911,2008
